Taxon	False_Positives	Non-Target_Taxa	Reason	F2	F6	F7	G2	G5	G7	J1	J3	J5	J8	K5	DB_R1	DB_R2	DB_R3	EB_21	Mean
Bigyra				56.71431284	10.9934154	11.07908868	17.75739042	27.85976817	58.12601592	39.67333095	3.999492665	60.98269628	75.30965131	18.46106887	47.05382234	34.93412665	13.48314607	100	34.63238468
Oligohymenophorea				6.072852532	0.114514744	9.844370961	16.23998835	20.90189426	6.810480205	6.015708675	46.99192491	13.45235021	9.77803213	11.99844608	3.705194021	1.087972801	0	0	13.47459664
Cryptophyceae				18.38672055	26.45926774	7.092801019	5.222076598	3.107152954	5.824172797	0.892538379	5.97810003	4.303331612	7.909904754	34.28880626	0	1.943618076	0	0	10.86044297
Dinophyceae				0.263093656	10.63078538	9.738191305	17.3379933	0.870794459	16.52478166	18.1720814	19.39288885	5.827091942	0.22891714	7.031466785	3.871989408	2.436605752	14.00749064	0	9.638007807
Eurotatoria				0	13.94535102	30.01547189	8.143294015	0.096126661	0	0.87022492	0	0	0.016351224	0	0	0	33.10861423	0	4.826074521
Prostomatea				0	5.45217419	20.02851682	11.31207223	2.456884365	0	4.467154588	2.113896757	0	0.077668315	0	0	0	0	0	4.173487933
Vampyrellidea				0.059670726	0.028628686	0.072808907	0.687345275	24.00904722	0.005510097	0.94162799	0.07187249	2.737603306	1.0096881	5.696764526	0	1.750956226	0	0	3.210960666
Centroplasthelida				1.3724267	0.01272386	0.427752328	0.393184797	15.25586655	0.377441662	6.216529811	3.001733395	4.054752066	0	0.441200955	0.588002414	0	5.31835206	0	2.868510193
Litostomatea				0.010849223	14.01215129	0.913145041	0.486384156	0.163980775	0.002755049	8.572831132	1.868684733	0.074251033	0	0.22476275	0	0	0	0	2.393617744
Catenulida				0	0.124057639	0.003033704	11.76350663	0	0	0.464119957	0	0	0	0	0	0	0	0	1.123156175
Spirotrichea				0	7.615230461	7.053362861	0.958205912	0.059372349	0.074386313	2.802570511	1.661522851	0.016141529	0.008175612	0.640990066	0	1.433630826	0	0	1.899087133
Diphyllatea				5.804334265	0	0	0	1.306191688	5.510097253	0.004462692	0.131061599	1.368801653	0.633609942	4.800488373	5.647029809	0	0	0	1.778095224
Chrysophyceae				0	3.915768044	0.024269636	3.215377894	0	0	1.343270261	10.54834482	0	0	0.030523336	0.959884736	4.198895028	0	0	1.73432309
Chlorophyceae				2.126447693	0.785698381	0.876740588	0.06116208	0.715295448	0.584070309	0.075865762	0.346679068	1.078254132	2.199239668	7.342249847	6.340171728	20.60348491	0	0	1.471972998
Colpodea				1.445658955	0.022266756	0.060674089	0.436871997	2.502120441	1.336198584	1.499464477	0.190250708	2.957128099	1.111883252	3.152228204	0	0.427822638	0	0	1.337704142
Colpodellophyceae				4.195936966	0	0	0	0	3.124225143	0	0	2.053202479	0.212565916	4.614573506	0	0	0	0	1.29095491
Hexanauplia				0	1.21512867	1.380335528	0.410659677	0.203562341	0	5.819350232	0.532701983	0.087164256	0.032702449	0.138742439	0.144729071	4.819379516	0	0	0.89275887
Thecofilosea				0	1.374176925	0	0.332022717	0	0	0	1.87714032	0	0	0	0	0	0	0	0.325758178
Elardia				0.002712306	0.108152814	0.091011134	0.658220475	0.002827255	0.011020195	0.044626919	0.232528643	0.006456612	0	0.011099395	0	0	0	0	0.106241432
Trebouxiophyceae				2.085763107	0.31809651	0.048539271	0.384447357	0	0.517949142	0.169582292	0.08455587	0.006456612	0.004087806	0.36073034	0.188212693	1.974783964	0	0	0.361837119
Phyllopharyngea				0.021698446	0.003180965	0.282134514	0.314547837	0	0.013775243	0.468582649	0.08455587	0.074251033	0.004087806	0.133192741	0	0	0	0	0.127273373
Synchromophyceae				0.547885758	0	0	0.701907674	0.005654509	0.245199328	0	0	0.748966942	1.08326861	0	0	0	0	0	0.302989347
Chytridiomycetes				0	0.089067023	0.003033704	0.00291248	0	0	0.312388433	0	0	0	0	0.28231904	0	0	0	0.037036513
Choanoflagellata				0.754020993	0.321277476	0.142584109	0.087374399	0.285552728	0.829269637	0.459657265	0.008455587	0.012913223	0.008175612	0.030523336	0	0	0	0	0.267254942
Eustigmatophyceae				0	0.165410185	0.036404453	0.929081113	0	0	0.022313459	0.160656154	0	0	0	0	0	0	0	0.119442306
Sarcomonadea				0.027123057	0.728441009	0.185055972	0.262123198	0	0.005510097	0.084791146	0.257895404	0.041967975	0	0.038847883	7.501249343	7.321150305	0	0	0.148341431
Synurophyceae				0.097643006	0.044533511	0.072808907	0.626183195	0	0.074386313	0.022313459	0	0.058109504	0.306585456	0	0	0	0	0	0.11841485
Zygnematophyceae				0.005424611	0	0.003033704	0.498034076	0.130053718	0.002755049	0.053552303	0	0.054881198	0.028614643	0.049947278	0	0	0	0	0.075117871
Prymnesiophyceae				0	0.235391418	0.024269636	0.116499199	0	0	0.383791503	0.15642836	0	0	0	0	0	0	0	0.083307283
Mamiellophyceae				0	0.683907498	0.045505567	0	0	0	0	0.029594555	0	0	0	0	0	0	0	0.069000693
Oomycetes				0	0	0.045505567	0.05533712	0.005654509	0	0.013388076	0	0.003228306	0.02043903	0.144292136	0	0	0	0	0.026167704
Himatismenida				0	0.098609918	0.106179656	0.01164992	0	0	0.008925384	0.093011457	0	0	0	0	0	0	0	0.028943303
Cercozoa incertae sedis				0	0.152686325	0.003033704	0.01164992	0.059372349	0	0	0.021138968	0	0.016351224	0.06659637	0	0	0	0	0.030075351
Bolidophyceae				0	0.330820371	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030074579
Bangiophyceae				0.005424611	0	0	0	0.002827255	0	0.017850768	0	0	0	0.299683667	0	0	0	0	0.029616936
Hydrozoa				0	0	0	0.294160478	0	0	0	0	0	0	0	0	0	0	0	0.026741862
Chaetonotida				0	0.00636193	0.145617814	0.0582496	0	0	0	0.050733522	0	0	0	0	0	0	0	0.023723897
Insecta				0	0	0	0.151448959	0	0	0.07140307	0	0	0	0	0	0	0	0	0.020259275
Granofilosea				0	0.00636193	0.151685223	0.03203728	0	0	0.022313459	0.033822348	0	0	0	0	0	0	0	0.022383658
Bacillariophyceae				0	0.00636193	0.003033704	0.04659968	0	0	0.013388076	0.080328077	0	0	0.002774849	0.356306099	0	0	0	0.013862392
Dictyochophyceae				0	0	0	0	0	0	0	0	0	0	0	0	1.677291401	0	0	0
Perkinsida	Yes		Marine	0	0	0	0	0	0	0	0	0	0	0	0	0	34.082397	0	0
Rotosphaerida				0	0	0	0	0	0	0	0	0	0	0	23.3610893	15.39028191	0	0	0
