Taxon	False_Positives	Non-Target_Taxa	Reason	F2	F6	F7	G2	G5	G7	J1	J3	J5	J8	K5	DB_R1	DB_R2	DB_R3	EB_21	Mean
Bicosoecidae				60.32194784	12.18376204	12.59527505	22.21533977	44.09737761	71.10646759	52.66843758	5.766693888	75.59931164	85.06325607	22.5670771	50.23941349	38.04381364	28.93890675	100	42.19863147
Cryptomonadaceae				19.55631202	29.16269715	8.063459217	6.267079614	4.918106149	7.124801995	0.815020526	7.808279415	5.334774083	8.934342968	41.91513178	0	2.11663067	0	0	12.71818227
Frontoniidae				0	0	7.753060873	17.07050465	9.160476148	0	7.268775658	59.93466926	0.316164405	0.230861575	0	0.127502408	0	0	0	9.248592052
Flosculariidae				0	15.46875551	34.10932919	9.739478958	0	0	0.996136199	0	0	0	0	0	0	0	0	5.483063623
Cyclidiidae				6.326448188	0.081154511	0	0	23.47623736	8.226888207	0	0.043972611	6.887581542	1.643734417	12.98463417	3.451573338	0	0	0	5.424604637
Urotrichidae				0	5.96309234	22.06242456	12.81472035	0	0	5.958705627	3.122055405	0	0	0	0	0	0	0	4.538272571
Stenostomidae				0	0.137609823	0.00344887	15.66769903	0	0	0.627867665	0	0	0	0	0	0	0	0	1.494238672
Collodictyonidae				6.173551812	0	0	0	2.067484113	6.740588453	0.006037189	0.19473585	1.696882379	0.715670884	5.868186289	6.029339413	0	0	0	2.133012452
Halteriidae				0	8.436540701	7.918606656	0.819821461	0.071601181	0.08762765	2.43902439	2.129530749	0.020010405	0	0.688579085	0	0	0	0	2.055576571
Cyrtolophosididae				1.537618278	0.021170742	0.06897741	0.455456367	3.960440347	1.6345927	2.016421154	0.282681073	3.665906271	1.25588697	3.853329263	0	0.465905585	0	0	1.704770961
Alphamonaceae				4.462843296	0	0	0	0	3.821913653	0	0	2.545323568	0.240096038	5.640921271	0	0	0	0	1.519190711
Spathidiidae				0	15.50051163	0.600103466	0	0	0.003370294	0	0	0.032016649	0	0.166208745	0	0	0	0	1.482019162
Cyclopidae				0	1.31964292	1.358854975	0.225906358	0.322205316	0	7.244626902	0.816634211	0.108056189	0.036937852	0.16960076	0.154527375	5.5260722	0	0	1.054769589
Suessiaceae				0	4.008327159	0.462148646	4.008016032	0.568334378	0.030332648	0.090557836	1.809158867	0.008004162	0	0.010176046	0	0	0	0	0.999550525
Dileptidae				0	0	0.317296086	0.251411915	0	0	11.46462207	2.405930021	0	0	0	0	0	0	0	1.312660008
Vorticellidae				0	0	0.565614761	2.284569138	0	0	0.639942043	7.613543564	0.004002081	0	1.282181744	0	0	0	0	1.126350303
Leptophryidae				0	0	0	0	5.477490379	0.003370294	0	0	2.793452595	0.909594607	0.206912927	0	0	0	0	0.853710982
Pseudodifflugiidae				0	1.524293426	0	0.415376207	0	0	0	2.78911992	0	0	0	0	0	0	0	0.429889959
Vampyrellidae				0	0	0.048284187	0.674075424	0	0	1.195363439	0.081663421	0	0	0	0	0	0	0	0.181762406
Thoracosphaeraceae				0	2.536960587	0.127608208	0	0	0	0	2.399648219	0	0	0	0	1.224930577	0	0	0.460383365
Phryganellidae				0	0.116439081	0.096568374	0.484605575	0	0.013481177	0.054334702	0.332935486	0	0	0.010176046	0	0	0	0	0.100776404
Tetrahymenidae				0.132702516	0.031756113	0.037937575	0.11659683	0.071601181	0.104479121	0.120743782	0	0.020010405	0.018468926	0.003392015	0.376963641	0	0	0	0.05978986
Scenedesmaceae				0.21347796	0	0	0	0.586234673	0.033702942	0	0	0.660343379	0.701819189	2.449034972	2.897215043	15.42425177	0	0	0.422237556
Borghiellaceae				0	0.352845701	0.782893602	0.947349244	0	0	1.708524511	0.364344494	0	0	0.020352091	0	0	0	0	0.379664513
Chilodonellidae				0.023078698	0.003528457	0.320744956	0.393514301	0	0.016851471	0.633904854	0.125636032	0.092047865	0.004617232	0.162816729	0	0	0	0	0.161521872
Colepidae				0	0	0.051733057	0	3.794862615	0	0	0	0	0.087727399	0	0	0	0	0	0.357665734
Salpingoecidae				0.744288022	0.314032674	0.162096913	0.109309528	0.451982458	0.923460618	0.597681719	0.012563603	0.016008324	0.009234463	0.037312167	0	0	0	0	0.307088226
Alphamycetaceae				0	0.098796796	0.00344887	0.003643651	0	0	0.422603236	0	0	0	0	0.301432323	0	0	0	0.048044778
Tovelliaceae				0.069236095	0.088211425	0.658734265	0.003643651	0.375906202	0.016851471	0	0.087945223	0	0.050789547	1.075268817	0	0	0	0	0.220598791
Oxytrichidae				0	0.010585371	0.100017244	0.34979049	0.022375369	0.003370294	1.201400628	0.320371883	0	0	0	0	0	0	0	0.182537389
Brachionidae				0	0	0.013795482	0.448169065	0.152152511	0	0.181115673	0	0	0.018468926	0	0	0	71.06109325	0	0.073972878
Halodinium				0	0.084682968	0.655285394	0.386226999	0.093976551	0	0.084520647	0.018845405	0	0	0	0	0	0	0	0.120321633
Chrysochromulinaceae				0	0.261105818	0.027590964	0.145746038	0	0	0.519198261	0.23242666	0	0	0	0	0	0	0	0.10782434
Desmidiaceae				0.005769675	0	0.00344887	0.535616688	0.205853397	0.003370294	0.072446269	0	0.068035378	0.032320621	0.061056274	0	0	0	0	0.089810679
Chlorellaceae				0	0.352845701	0.027590964	0.455456367	0	0	0.217338807	0.081663421	0	0	0	0.200954882	1.076828139	0	0	0.103172296
Oocystaceae				0.360604662	0	0.017244352	0.014574604	0	0.084257356	0	0	0.008004162	0.004617232	0.390081748	0	1.073742672	0	0	0.079944011
Monomastigaceae				0	0.758618256	0.051733057	0	0	0	0	0.043972611	0	0	0	0	0	0	0	0.077665811
Pansomonadidae				0	0.617479976	0.196585618	0.014574604	0	0	0	0	0	0	0	8.009091476	7.972847886	0	0	0.075330927
Viridiraptoridae				0	0	0	0.138458736	0	0	0.006037189	0.219863057	0	0	0	0	0	0	0	0.033123544
Hartmannellidae				0.002884837	0.003528457	0.006897741	0.069229368	0.004475074	0	0.006037189	0.006281802	0.008004162	0	0.003392015	0	0	0	0	0.010066422
Characiochloridaceae				0.069236095	0	0.027590964	0.007287302	0.017900295	0.020221765	0.036223135	0.056536215	0.116060351	0.009234463	0.081408365	0.297274636	0	0	0	0.04015445
Eustigmatophyceae incertae sedis				0	0.042341484	0.024142093	0.069229368	0	0	0.024148756	0.081663421	0	0	0	0	0	0	0	0.021956829
Parvamoeba				0	0.109382167	0.120710467	0.014574604	0	0	0.012074378	0.138199636	0	0	0	0	0	0	0	0.03590375
Cercozoa incertae sedis				0	0.169365936	0.00344887	0.014574604	0.093976551	0	0	0.031409008	0	0.018468926	0.081408365	0	0	0	0	0.037513842
Chaetopeltidaceae				0	0.049398398	0.096568374	0.069229368	0	0	0.006037189	0.157045041	0	0	0	0	0	0	0	0.034388943
Dinobryaceae				0	0.007056914	0	0.163964292	0	0	0	0.157045041	0	0	0.037312167	0	0	0	0	0.033216219
Hydridae				0	0	0	0.368008745	0	0	0	0	0	0	0	0	0	0	0	0.03345534
Cercomonadidae				0	0.119967538	0	0.003643651	0	0	0.096595025	0.056536215	0	0	0	0	0	0	0	0.025158403
Lagenidiaceae				0	0	0.031039834	0.065585717	0	0	0.012074378	0	0	0	0	0	0	0	0	0.009881812
Chaetonotidae				0	0.007056914	0.165545784	0.072873019	0	0	0	0.075381619	0	0	0	0	0	0	0	0.029168849
Limnofilidae				0	0.007056914	0.172443525	0.04008016	0	0	0.030185945	0.050254413	0	0	0	0	0	0	0	0.027274632
Chironomidae				0	0	0	0.189469849	0	0	0.096595025	0	0	0	0	0	0	0	0	0.026005898
Achnanthidiaceae				0	0.007056914	0.00344887	0.058298415	0	0	0.018111567	0.119354231	0	0	0.003392015	0.38042838	0	0	0	0.019060183
Tubulinida incertae sedis				0	0	0	0.207688103	0	0	0	0.006281802	0	0	0	0	0	0	0	0.01945181
Pseudoholophryidae				0	0	0	0.091091273	0	0	0.13281816	0	0	0	0	0	0	0	0	0.020355403
Chromulinaceae				0	0.021170742	0.017244352	0.15667699	0	0	0	0	0	0	0	0	0	0	0	0.017735644
Peridiniales incertae sedis				0	0.007056914	0	0.145746038	0	0	0	0	0	0	0	0	0	0	0	0.013891177
Saprolegniaceae				0	0	0	0	0.008950148	0	0	0	0	0.004617232	0.135680608	0	0	0	0	0.013567999
Parameciidae				0	0	0	0.163964292	0	0	0.006037189	0	0	0	0	0	0	0	0	0.01545468
Strombidiidae				0	0	0	0	0	0	0.13281816	0.018845405	0	0	0	0	1.561246529	0	0	0.013787597
Aspidiscidae				0	0	0	0.021861906	0	0	0	0	0	0.009234463	0.094976425	0	0	0	0	0.011461163
Chrysoamoebidaceae				0	0.014113828	0.010346611	0.054654764	0	0	0.006037189	0.006281802	0	0	0	0	0	0	0	0.008312199
Arcellidae				0	0	0	0.061942066	0	0	0	0	0	0	0	0	0	0	0	0.005631097
Urostylidae				0	0	0	0.007287302	0	0	0.018111567	0	0	0	0	0	0	0	0	0.002308988
Haematococcaceae				0	0	0	0	0	0	0	0	0	0	0	0	2.634989201	0	0	0
Paraphysomonadaceae				0	0	0	0	0	0	0	0	0	0	0	1.024869899	1.61987041	0	0	0
Parvularia				0	0	0	0	0	0	0	0	0	0	0	24.94265856	16.76025918	0	0	0
Pedinellaceae				0	0	0	0	0	0	0	0	0	0	0	0	1.826596729	0	0	0
Volvocaceae				0	0	0	0	0	0	0	0	0	0	0	1.566755133	2.67201481	0	0	0
Ichthyophthiriidae		Yes	Obligate Parasite	0	0	0.023025186	0.043414205	0	0	0	0	0	0	0	0	0	0	0	0.006039945
Heterophryidae		Yes	Obligate Parasite	0	0	0	0.120439408	0	0	0.038530359	0	0	0	0	0	0	0	0	0.014451797
