Taxon	False_Positives	Non-Target_Taxa	Reason	F2	F6	F7	G2	G5	G7	J1	J3	J5	J8	K5	DB_R1	DB_R2	DB_R3	EB_21	Mean
Achnanthidium				0	0.008732099	0.005581915	0.083936628	0	0	0.023039705	0.392886683	0	0	0.003422782	0.381504336	0	0	0	0.069161858
Agitata				0	0.76405868	0.318169132	0.020984157	0	0	0	0	0	0	0	8.031743384	8.581011523	0	0	1.362766683
Alphamonas				4.496439471	0	0	0	0	3.862134732	0	0	2.557503619	0.240975022	5.692086528	0	0	0	0	1.296087644
Alphamyces				0	0.122249389	0.005581915	0.005246039	0	0	0.537593119	0	0	0	0	0.302284857	0	0	0	0.074842717
Apedilum				0	0	0	0.094428706	0	0	0.122878427	0	0	0	0	0	0	0	0	0.016715933
Aphanomyces				0	0	0	0	0.010383677	0	0	0	0	0.004634135	0.136911281	0	0	0	0	0.011686853
Apocalathium				0	0	0	0	0	0	0	0	0	0	0	0	1.318367482	0	0	0.101412883
Arcella				0	0	0	0.089182667	0	0	0	0	0	0	0	0	0	0	0	0.006860205
Aspidisca				0	0	0	0.031476235	0	0	0	0	0	0.00926827	0.095837897	0	0	0	0	0.010506339
Asulcocephalium				0	0	0.033491488	4.569300178	0.659363481	0	0.061439214	0.372208437	0	0	0.010268346	0	0	0	0	0.43892855
Baldinia				0	0.43660496	1.267094613	1.363970202	0	0	2.17341218	1.199338296	0	0	0.020536692	0	0	0	0	0.496996688
Bodomorpha				0	0	0	0.199349491	0	0	0.007679902	0.723738627	0	0	0	0	0	0	0	0.07159754
Brachionus				0	0	0.022327658	0.645262827	0.176522507	0	0.230397051	0	0	0.01853654	0	0	0	71.06109325	0	0.084080506
Chaetopeltis				0	0.061124694	0.156293609	0.099674746	0	0	0.007679902	0.516956162	0	0	0	0	0	0	0	0.064748393
Chilodonella				0.023252434	0.00436605	0.519118057	0.566572238	0	0.017028813	0.806389678	0.41356493	0.092488338	0.004634135	0.164293538	0	0	0	0	0.200900632
Chlamydopodium				0.069757303	0	0.044655317	0.010492078	0.020767354	0.020434575	0.04607941	0.186104218	0.116615731	0.00926827	0.082146769	0.29811541	0	0	0	0.069572033
Chrysamoeba				0	0.017464198	0.016745744	0.078690589	0	0	0.007679902	0.020678246	0	0	0	0	0	0	0	0.010866052
Chrysochromulina				0	0.32308767	0.044655317	0.20984157	0	0	0.660471546	0.76509512	0	0	0	0	0	0	0	0.154088556
Coelastrella				0.133701497	0	0	0	0.680130834	0.01362305	0	0	0.663503297	0.704388526	2.361719606	0.459334	0	0	0	0.385876985
Copromyxa				0	0	0	0.299024237	0	0	0	0.020678246	0	0	0	0	0	0	0	0.024592499
Cosmarium				0.005813109	0	0.005581915	0.057706432	0	0.003405763	0.015359803	0	0.008042464	0.032438945	0.037650602	0	0	0	0	0.012769156
Cryptomonas				19.70353146	36.08539993	13.05051633	9.023187493	5.705830435	7.199782031	1.036786729	25.70306038	5.360302397	8.9670513	42.29531763	0	2.278085877	0	0	13.56991169
Cyclidium				6.374073536	0.100419141	0	0	27.2363844	8.313466385	0	0.144747725	6.920540454	1.649752074	13.10240964	3.461335335	0	0	0	5.177163745
Cyrtolophosis				1.549193431	0.017464198	0.111638292	0.409191061	4.594777011	1.651794837	2.53436756	0.641025641	3.683448609	0.282682237	3.631571742	0	0.501444559	0	0	1.508353783
Desmodesmus				0.08138352	0	0	0	0	0.020434575	0	0	0	0	0.109529025	1.289053814	1.198817786	0	0	0.207632209
Diphylleia				6.220026159	0	0	0	2.398629355	6.8115251	0.007679902	0.641025641	1.705002413	0.718290931	5.921412924	6.046392039	0	0	0	2.343844959
Esoptrodinium				0.069757303	0.10915124	1.066145688	0.005246039	0.436114428	0.017028813	0	0.289495451	0	0.050975485	1.085021906	0	0	0	0	0.240687412
Haematococcus				0	0	0	0	0	0	0	0	0	0	0	0	2.835984459	0	0	0.218152651
Halodinium				0	3.641285365	3.857102986	2.250550834	0.109028607	0	2.542047462	2.23325062	0	0	0	0	0	0	0	1.125635836
Hydra				0	0	0	0.529849963	0	0	0	0	0	0	0	0	0	0	0	0.040757689
Ichthyophthirius		Yes	Parasite of vertebrates	0	0	0.094892548	0.162627216	0	0	0	0	0	0	0	0	0	0	0	0.019809213
Lagenidium				0	0	0.050237231	0.094428706	0	0	0.015359803	0	0	0	0	0	0	0	0	0.012309672
Lepidodermella				0	0.008732099	0.267931901	0.104920785	0	0	0	0.248138958	0	0	0	0	0	0	0	0.048440288
Makinoella				0.363319285	0	0.027909573	0	0	0.085144064	0	0	0.008042464	0.004634135	0.393619934	0	1.155647063	0	0	0.156793578
Mesopedinella				0	0	0	0	0	0	0	0	0	0	0	0	1.965928337	0	0	0.151225257
Micractinium				0	0.43660496	0.044655317	0.655754905	0	0	0.276476461	0.268817204	0	0	0	0.201523238	1.158967888	0	0	0.234061536
Microcyclops				0	1.235592036	0.022327658	0.178365334	0	0	0	0.020678246	0	0	0	0	0	0	0	0.112074098
Monilicaryon				0	0	0.513536143	0.361976708	0	0	14.58413332	7.919768404	0	0	0	0	0	0	0	1.798416506
Neglectella				0	0	0	0.020984157	0	0	0	0	0	0	0	0	0	0	0	0.001614166
Ochromonas				0	0.026196298	0.027909573	0.225579687	0	0	0	0	0	0	0	0	0	0	0	0.021514274
Oxytricha				0	0	0	0	0	0	0	0.827129859	0	0	0	0	0	0	0	0.063625374
Paracercomonas				0	0	0	0.005246039	0	0	0.122878427	0	0	0	0	0	0	0	0	0.009855728
Paraeustigmatos				0	0.052392595	0.039073402	0.099674746	0	0	0.030719607	0.268817204	0	0	0	0	0	0	0	0.037744427
Paramecium				0	0	0	0.236071766	0	0	0.007679902	0	0	0	0	0	0	0	0	0.018750128
Paraphysomonas				0	0	0	0	0	0	0	0	0	0	0	1.027768512	1.743433069	0	0	0.213169352
Parvamoeba	Yes		Marine	0	0.135347538	0.195367011	0.020984157	0	0	0.015359803	0.454921423	0	0	0	0	0	0	0	0.063229226
Parvularia				0	0	0	0	0	0	0	0	0	0	0	25.01320325	18.03872082	0	0	3.311686467
