Taxon	False_Positives	Non-Target_Taxa	Reason	F2	F6	F7	G2	G5	G7	J1	J3	J5	J8	K5	DB_R1	DB_R2	EB_21	DB_R3	Mean
Chlorophyceae				90.15846848	2.70544722	3.221571906	6.54234859	90.59808003	86.32607062	44.47612556	6.154752325	56.95160313	69.5836565	56.33753618	100	100	NA	NA	46.64142369
Cryptophyceae				0	82.34152866	57.54347826	18.33307251	3.285192422	0.8771374	5.480647736	37.21389403	9.540765087	0.228551626	0.036594697	0	0	NA	NA	19.53462386
Cyanophyceae		Yes	Bacteria	4.595678469	1.983058963	37.43561873	60.45845036	4.641916575	8.654603387	20.97659108	23.67908015	33.1573749	29.87095497	43.51026315	0	0	NA	NA	24.45123552
Synurophyceae				0	8.072585572	0.070234114	4.797832121	0	0	15.84009443	30.14410035	0	0	0	0	0	NA	NA	5.356804235
Trebouxiophyceae				5.198618147	2.376038175	0.322742475	2.815277286	0.078158185	3.979252849	7.245461196	1.032014004	0.05726949	0.033828941	0.025782627	0	0	NA	NA	2.105858489
Zygnematophyceae				0.03612081	0.00247676	0.163043478	3.284764721	1.395803245	0.152978556	2.238644676	0.086277698	0.283027481	0.28300797	0.089823347	0	0	NA	NA	0.728724431
Eustigmatophyceae				0.011114095	0.1907105	0.347826087	3.249347248	0.000849545	0.008146787	0.510407661	0.375805742	0.009129919	0	0	0	0	NA	NA	0.427576144
Coccolithophyceae				0	0.074302792	0.201505017	0.219917799	0	0	2.685043559	0.183340108	0	0	0	0	0	NA	NA	0.305828116
Mamiellophyceae				0	2.240641976	0.525083612	0	0	0	0	0.225649364	0	0	0	0	0	NA	NA	0.271943177
Bacillariophyceae				0	0.013209385	0.163879599	0.282516123	0	0.001810397	0.361608034	0.63795721	0.000829993	0	0	0	0	NA	NA	0.132891886
Coleochaetophyceae				0	0	0.003344482	0.016473243	0	0	0.170412981	0.199931973	0	0	0	0	0	NA	NA	0.035469334
Ulvophyceae				0	0	0.001672241	0	0	0	0.014963091	0.067197053	0	0	0	0	0	NA	NA	0.007621126
