Taxon	False_Positives	Non-Target_Taxa	Reason	F2	F6	F7	G2	G5	G7	J1	J3	J5	J8	K5	DB_R1	DB_R2	EB_21	DB_R3	Mean
Selenastraceae				73.66737443	0.143213608	0.698581769	0.30759468	44.33610383	57.83186243	7.949662995	2.060827207	23.52745424	30.43593153	35.7205415	0	0	NA	NA	25.15264984
Cryptomonadaceae				0	87.50087861	57.99492707	19.61731344	3.293081718	0.881630425	6.712618868	40.3159995	9.563227953	0.228742248	0.036700615	0	0	NA	NA	20.55864731
Volvocaceae				15.98594357	0.680044985	1.193234964	6.51677669	35.44384644	27.77727231	45.02636991	3.160893714	31.06905158	32.96365723	18.25855583	0	100	NA	NA	19.82505884
Synechococcaceae		Yes	Bacteria	4.252162706	1.657060519	25.78938055	22.42797084	2.14684743	6.424347193	15.00946873	21.37759963	28.64475874	28.67535942	12.18710641	0	0	NA	NA	15.32655111
Leptolyngbyaceae		Yes	Bacteria	0.305050486	0.391860547	11.42842697	40.31164894	1.006574241	1.823309981	4.057301106	2.268437798	4.453410982	0.52767616	31.0537247	0	0	NA	NA	8.875220173
Synuraceae				0	2.446053279	0	0.027322164	0	0	0	24.99236065	0	0	0	0	0	NA	NA	2.496885099
Scenedesmaceae				0.495127537	0	0.008426801	0	10.80406717	1.001728687	0.161884787	0.325346467	2.031613977	6.193382165	2.415567733	100	0	NA	NA	2.130649575
Chlorellaceae				0	2.526006888	0.303364821	3.000149831	0.057056239	0	8.768250219	1.065914116	0.001663894	0	0	0	0	NA	NA	1.429309637
Chlamydomonadaceae				0	2.008504955	0.168536012	0	0	0	0	0.447576079	0	0	0	0	0	NA	NA	0.23860155
Microcystaceae		Yes	Bacteria	0	0.011421944	0.024437722	0.762376499	1.466430494	0	4.974648231	1.854115363	0.103993344	0.560707532	0.143466039	0	0	NA	NA	0.900145197
Oocystaceae				5.20440237	0.002635833	0.021909682	0.012339042	0.021289641	3.999636066	0.105886905	0.052127334	0.055740433	0.033857156	0.025857251	0	0	NA	NA	0.866880156
Desmidiaceae				0.036161	0.002635833	0.164322612	3.456694371	1.399155227	0.153762169	2.487324116	0.093469703	0.283693844	0.283244011	0.090083327	0	0	NA	NA	0.768231474
Eustigmataceae				0	0.114219442	0.213198055	2.98957351	0	0	0.221955242	0.258839178	0	0	0	0	0	NA	NA	0.345253221
Chrysochromulinaceae				0	0.079074998	0.203085894	0.235323151	0	0	3.288602904	0.198623119	0	0	0	0	0	NA	NA	0.364064551
Monomastigaceae				0	2.384550503	0.529203077	0	0	0	0	0.244459224	0	0	0	0	0	NA	NA	0.287110255
Hydrodictyaceae				0.042651436	0.042173332	1.090427997	0.145424419	0.018734884	0.073696661	0.289152701	0.541944529	0.24875208	0.003303137	0.06672839	0	0	NA	NA	0.232999052
Chaetosphaeridiaceae				0	0	0.00337072	0.017627202	0	0	0.208719379	0.216598062	0	0	0	0	0	NA	NA	0.040574124
Fragilariaceae				0	0	0	0	0	0	0.013235863	0.417018676	0	0	0	0	0	NA	NA	0.039114049
Mallomonadaceae				0	0	0	0	0	0	0.366531593	0	0	0	0	0	0	NA	NA	0.033321054
Calothricaceae		Yes	Bacteria	0	0	0.071627805	0.019389923	0	0	0.227045959	0.035051139	0	0	0	0	0	NA	NA	0.032101348
Prochlorotrichaceae		Yes	Bacteria	0	0.003514444	0.023595042	0.016745842	0.0059611	0.024565554	0.035635016	0	0.007487521	0.006606274	0.00166821	0	0	NA	NA	0.011434455
Nostocaceae		Yes	Bacteria	0	0	0	0.135729458	0	0	0.008145147	0	0	0	0	0	0	NA	NA	0.013079509
Hazeniaceae				0	0	0.00168536	0	0	0	0.01832658	0.072798519	0	0	0	0	0	NA	NA	0.008437314
Pseudanabaenaceae		Yes	Bacteria	0	0	0	0	0	0	0	0	0	0.087533135	0	0	0	NA	NA	0.007957558
Monodopsidaceae				0.011126462	0	0.00589876	0	0.000851586	0.008188518	0.040725733	0	0.009151414	0	0	0	0	NA	NA	0.006903861
Ochromonadaceae				0	0.006150278	0.055616884	0	0	0	0	0	0	0	0	0	0	NA	NA	0.005615197
Oedogoniaceae				0	0	0.00674144	0	0	0	0.028508013	0	0	0	0	0	0	NA	NA	0.003204496
