Taxon	False_Positives	Non-Target_Taxa	Reason	F2	F6	F7	G2	G5	G7	J1	J3	J5	J8	K5	DB_R1	DB_R2	EB_21	DB_R3	Mean
Messastrum				73.76517993	0.143233743	0.700671935	0.319459573	45.06253516	58.7187067	8.201336078	2.06998032	23.64805539	30.57682576	35.81554056	0	0	NA	NA	25.3655932
Cryptomonas				0	87.51318102	58.16844863	20.37401485	3.347037694	0.895150115	6.925129196	40.49506202	9.612248823	0.229801143	0.03679822	0	0	NA	NA	20.6906247
Pandorina				16.00716753	0.680140598	1.196805139	6.76814924	36.0245813	28.20323326	46.45182976	3.174932746	31.22831077	33.11625283	18.3071146	0	100	NA	NA	20.1053198
Anathece		Yes	Bacteria	4.257808148	1.657293497	25.8665427	23.29308814	2.180291687	6.520092379	15.4846435	21.46261758	28.78824621	28.79980753	12.21951811	0	0	NA	NA	15.50272268
Romeria				0.30081331	0.380492091	11.34851878	41.74027662	0.911412126	0.632794457	3.809713878	2.010399552	4.349971151	0.347605339	30.95733915	0	0	NA	NA	8.799030587
Synura				0	2.446397188	0	0.028376065	0	0	0	25.10336361	0	0	0	0	0	NA	NA	2.507103351
Hariotina				0.405726594	0	0	0	10.79845934	0.857274827	0.015755641	0.249155939	1.904053116	6.191357154	2.382684765	100	0	NA	NA	2.073133398
Mucidosphaerium				0	2.526362039	0.304272493	3.115875035	0.057991085	0	9.04583841	1.070648347	0.001672423	0	0	0	0	NA	NA	1.465696348
Sphaerellopsis				0	2.008787346	0.169040274	0	0	0	0	0.449563977	0	0	0	0	0	NA	NA	0.238853782
Microcystis		Yes	Bacteria	0	0.01142355	0.02451084	0.791783756	1.490457437	0	5.132137305	1.862350371	0.104526412	0.563303163	0.143847588	0	0	NA	NA	0.920394584
Oocystis				5.211312066	0.002636204	0.021975236	0.012814997	0.021638465	4.060969977	0.109239108	0.052358857	0.056026157	0.034013888	0.025926019	0	0	NA	NA	0.873537361
Vischeria				0	0.114235501	0.213835946	3.104890752	0	0	0.228981976	0.259988806	0	0	0	0	0	NA	NA	0.356539362
Chrysochromulina				0	0.079086116	0.20369353	0.244400304	0	0	3.392714592	0.199505299	0	0	0	0	0	NA	NA	0.374490895
Monomastix				0	2.384885764	0.53078646	0	0	0	0	0.245544983	0	0	0	0	0	NA	NA	0.287383382
Tetraedron				0.042708063	0.042179262	1.093690572	0.151033896	0.019041849	0.07482679	0.298306794	0.544351563	0.250027177	0.003318428	0.066905855	0	0	NA	NA	0.235126386
Chaetosphaeridium				0	0	0.003380805	0.018307139	0	0	0.215327087	0.217560077	0	0	0	0	0	NA	NA	0.04132501
Fragilaria				0	0	0	0	0	0	0.013654888	0.418870854	0	0	0	0	0	NA	NA	0.039320522
Mallomonas				0	0	0	0	0	0	0.378135372	0	0	0	0	0	0	NA	NA	0.034375943
Calothrix		Yes	Bacteria	0	0	0.071842116	0.020137853	0	0	0.234233856	0.035206817	0	0	0	0	0	NA	NA	0.032856422
Nodosilinea		Yes	Bacteria	0	0.003514938	0.023665638	0.017391782	0.00605877	0.024942263	0.036763161	0	0.007525902	0.006636856	0.001672646	0	0	NA	NA	0.011651996
Leptolyngbya		Yes	Bacteria	0	0	0.000845201	0	0	0.012009238	0.007352632	0.005416433	0.010870747	0.03069546	0.003345293	0	0	NA	NA	0.006412273
Desmodesmus				0.009284361	0	0	0	0.080495088	0	0	0	0.03846572	0.012444105	0.03930719	0	0	NA	NA	0.016363315
Hazenia				0	0	0.001690403	0	0	0	0.018906769	0.073121852	0	0	0	0	0	NA	NA	0.008519911
Limnothrix		Yes	Bacteria	0	0	0	0	0	0	0	0	0	0.087938344	0	0	0	NA	NA	0.007994395
Poteriochromonas				0	0.006151142	0.05578329	0	0	0	0	0	0	0	0	0	0	NA	NA	0.005630403
