Taxon	False_Positives	Non-Target_Taxa	Reason	F2	F6	F7	G2	G5	G7	J1	J3	J5	J8	K5	DB_R1	DB_R2	DB_R3	EB_21	Mean
Eurotatoria				0.100763683	22.46483373	21.51959994	21.87588382	78.19882562	0.798093443	88.30195398	80.8092147	4.42135375	55.12546031	3.43329207	0	0	0	0	34.27720682
Branchiopoda				79.33283835	1.83361561	15.2259581	15.46524284	3.840639082	64.4238763	1.262295812	1.17624091	13.94556392	25.54594502	9.524290731	0	0	0	0	21.0524097
Insecta				4.757106491	30.6806081	49.67391054	37.26827847	12.47780964	8.928670398	8.183558107	3.121186978	33.59976442	2.766121435	79.99646313	0	0	0	0	24.67758888
Cryptophyceae				0.090156979	44.28059998	11.56714985	15.50552361	4.342482589	5.420384637	0.301775938	13.84279369	27.89954146	3.588250407	0.576004851	0	0	0	0	11.58315127
Oomycetes				12.88184132	0.009127511	0.053003941	3.692117826	0.594018845	4.056975004	1.721636178	0.013421836	12.24601405	12.07073735	2.549074097	0	0	0	0	4.535269814
Dinophyceae				0.302291048	0.227173615	0.098326151	0.30596241	0.102417042	15.31896026	0.100591979	0.511249939	7.408186446	0.22265993	2.647601243	0	0	0	0	2.47685637
Hydrozoa				0	0	0.003072692	4.550869465	0.095589239	0	0.025815641	0	0.042068066	0	0.149053887	0	0	0	0	0.442406272
Chaetonotida				0	0.134884334	1.811352061	0.744765643	0.068278028	0	0.001780389	0.438039924	0	0	0	0	0	0	0	0.290827307
Flabellinia				1.559185405	0	0.002304519	0.019711864	0	0.997616804	0	0	0.084136132	0.188404556	0.192001617	0	0	0	0	0.276669173
Chlorophyceae				0.975816716	0	0	0	0.279939915	0.055423156	0	0.004880668	0.353371756	0.355399503	0.762953793	0	0	0	0	0.253435046
Phaeophyceae				0	0.2687545	0	0	0	0	0.078337117	0	0	0	0	0	0	0	0	0.031553783
Gastropoda				0	0	0	0.268252758	0	0	0.013352918	0.061008346	0	0	0	0	0	0	0	0.031146729
Discosea				0	0	0.002304519	0.107986733	0	0	0.000890195	0	0	0	0.073263775	0	0	0	0	0.016767747
Synurophyceae				0	0.010141679	0.003072692	0.194547527	0	0	0.008011751	0	0	0	0.002526337	0	0	0	0	0.019845453
Arachnida		Yes	Terrestrial only taxa	0	0	0	0	0	0	0	0	0	0.137021495	0	0	0	0	0	0.0124565
Mamiellophyceae				0	0.086204274	0.039944999	0	0	0	0	0	0	0	0	0	0	0	0	0.011468116
Chrysophyceae				0	0.004056672	0	0	0	0	0	0	0	0	0.093474471	0	0	0	0	0.008866468
Leotiomycetes				0	0	0	0.000857038	0	0	0	0.021963005	0	0	0	0	0	0	0	0.002074549
