Taxon	False_Positives	Non-Target_Taxa	Reason	F2	F6	F7	G2	G5	G7	J1	J3	J5	J8	K5	DB_R1	DB_R2	DB_R3	EB_21	Mean
Chydoridae				71.28818509	3.345607964	3.063602247	8.213485644	4.528256319	78.23883666	0	3.177323665	27.6342114	30.25815286	60.7966457	0	0	0	0	26.41311887
Cryptomonadaceae				0.095462713	80.7942118	36.93492605	30.93865964	5.119948479	7.182726204	0.383653422	37.39288069	55.28509503	4.250139474	3.676826318	0	0	0	0	23.82313907
Sididae				12.71338724	0	45.55422012	22.64480052	0	7.131316099	1.60478039	0	0	0	0	0	0	0	0	8.149864033
Synchaetidae				0	13.41759035	6.62513184	7.148109513	0	0	92.69021401	43.36849044	0.616872291	0	0	0	0	0	0	14.89694622
Lecanidae				0	0.022205363	0.036792661	13.2701746	77.0206086	0	0.666583674	0	0.40846949	23.29461886	0.983712304	0	0	0	0	10.51846959
Brachionidae				0.106693621	1.304565052	0.802080012	5.496177985	12.28063114	1.057579318	4.524620591	14.05075808	5.510170057	39.96551199	20.93210772	0	0	0	0	9.639172324
Peronosporaceae				13.11208446	0	0.039245505	0.263351403	0.044276284	4.994124559	0	0	9.594864955	1.415022569	3.241412675	0	0	0	0	2.973125673
Hydridae				0	0	0.009811376	9.080493185	0	0	0	0	0	0	0	0	0	0	0	0.826391324
Chaetonotidae				0	0.246109435	5.783806323	1.486054346	0.080502335	0	0.002263442	1.183256427	0	0	0	0	0	0	0	0.798362937
Hydrodictyaceae				1.033243486	0	0	0	0.330059572	0.073443008	0	0.013183916	0.700233411	0.420956535	4.870182229	0	0	0	0	0.676482014
Paramoebidae				1.650943396	0	0.007358532	0.039331703	0	1.321974148	0	0	0.166722241	0.223157681	1.225608773	0	0	0	0	0.421372407
Saprolegniaceae				0	0.011102681	0	0	0.016100467	0	0	0.023071852	0.016672224	0.010143531	2.741493308	0	0	0	0	0.256234915
Chironomidae				0	0	0.966420565	0.230859996	0	0	0	0	0	0	0	0	0	0	0	0.108843687
Pythiaceae				0	0	0.002452844	0.047882073	0.579616809	0	0	0.006591958	0.066688896	0	0.451540074	0	0	0	0	0.104979332
Cochliopodiidae				0	0	0.007358532	0.21546933	0	0	0.001131721	0	0	0	0.467666505	0	0	0	0	0.062875099
Pachychilidae				0	0	0	0.535253176	0	0	0.016975815	0.164798945	0	0	0	0	0	0	0	0.065184358
Dinobryaceae				0	0.007401788	0	0	0	0	0	0	0	0	0.596677955	0	0	0	0	0.05491634
Chordariaceae				0	0.490368424	0	0	0	0	0.099591449	0	0	0	0	0	0	0	0	0.053632716
Pfiesteriaceae				0	0.185044688	0.029434129	0	0	0	0	0.355965722	0	0	0	0	0	0	0	0.051858594
Ochromonadaceae				0	0.018504469	0.009811376	0.388186808	0	0	0.010185489	0	0	0	0.016126431	0	0	0	0	0.04025587
Dolichomastigaceae	Yes		Marine only taxa	0	0.157287985	0.127547892	0	0	0	0	0	0	0	0	0	0	0	0	0.025894171
Libellulidae				0	0	0	0	0	0	0	0.204350692	0	0	0	0	0	0	0	0.018577336
Salticidae		Yes	Terrestrial only taxa	0	0	0	0	0	0	0	0	0	0.162296495	0	0	0	0	0	0.014754227
Chaetomellaceae		Yes	Terrestrial only taxa	0	0	0	0.001710074	0	0	0	0.05932762	0	0	0	0	0	0	0	0.005548881
