Taxon	False_Positives	Non-Target_Taxa	Reason	F2	F6	F7	G2	G5	G7	J1	J3	J5	J8	K5	DB_R1	DB_R2	DB_R3	EB_21	Mean
Cryptomonas				0.095462713	81.20292362	36.98118768	31.10354668	5.211406096	7.182726204	0.384035889	37.39288069	55.32198866	4.352794515	3.803803804	0	0	0	0	23.91206878
Chydorus				69.64285714	3.362532314	3.067439462	0.006876751	4.609144543	78.23883666	0	3.13117996	27.65265265	30.98898816	51.41808475	0	0	0	0	24.73805385
Diaphanosoma				12.71338724	0	45.61127757	22.76548558	0	7.131316099	1.606380207	0	0	0	0	0	0	0	0	8.166167882
Polyarthra				0	13.4854656	6.633429933	0.751285093	0	0	91.92731639	43.36849044	0.617283951	0	0	0	0	0	0	14.25302467
Lecane				0	0.022317692	0.036838745	13.34089776	78.3964274	0	0.667248196	0	0.408742075	23.85726158	1.017684351	0	0	0	0	10.70431071
Euchlanis				0.106693621	0.264092693	0.65081782	3.78393247	11.34873812	1.057579318	0.045313969	0.524060646	5.355355355	38.51547891	19.88655322	0	0	0	0	7.412601468
Phytophthora				13.11208446	0	0.039294661	0.26475493	0	4.994124559	0	0	9.601267935	1.449200083	1.985318652	0	0	0	0	2.858731389
Keratella				0	1.034053079	0.027015079	1.208589063	0	0	4.483817249	13.52669743	0.158491825	0	0	0	0	0	0	1.858060339
Alona				0	0	0	8.250382519	0	0	0	0.046143705	0	0	11.47814481	0	0	0	0	1.797697367
Hydra				0	0	0.009823665	9.128887514	0	0	0	0	0	0	0	0	0	0	0	0.830791925
Chaetonotus				0	0.247354424	5.791050641	1.493974247	0.081940347	0	0.002265698	1.183256427	0	0	0	0	0	0	0	0.799985617
Hydrodictyon				1.033243486	0	0	0	0.335955424	0.073443008	0	0.013183916	0.700700701	0.431124039	5.038371705	0	0	0	0	0.693274753
Ploesoma				0	0	0	6.434920144	0	0	0.855301168	0	0	0	0	0	0	0	0	0.662747392
Korotnevella				1.650943396	0	0.007367749	0.039541321	0	1.321974148	0	0	0.1668335	0.228547683	1.267934601	0	0	0	0	0.425740218
Saprolegnia				0	0.011158846	0	0	0.016388069	0	0	0.023071852	0	0	1.618284952	0	0	0	0	0.15171852
Pleuroxus				1.645327942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.149575267
Aphanomyces				0	0	0	0	0	0	0	0	0.01668335	0.010388531	1.217884551	0	0	0	0	0.113177857
Dicrotendipes				0	0	0.967631023	0	0	0	0	0	0	0	0	0	0	0	0	0.087966457
Cochliopodium				0	0	0.007367749	0.21661767	0	0	0.001132849	0	0	0	0.48381715	0	0	0	0	0.064448674
Sulcospira				0	0	0	0.538105799	0	0	0.016992738	0.164798945	0	0	0	0	0	0	0	0.065445226
Poteriospumella				0	0.007439231	0	0	0	0	0	0	0	0	0.617283951	0	0	0	0	0.056793016
Pfiesteria	Yes		Marine only taxa	0	0.18598077	0.029470996	0	0	0	0	0.355965722	0	0	0	0	0	0	0	0.051947044
Poterioochromonas				0	0.018598077	0.009823665	0.390255643	0	0	0.010195643	0	0	0	0.01668335	0	0	0	0	0.040505125
Dolichomastix	Yes		Marine only taxa	0	0.158083654	0.127707648	0	0	0	0	0	0	0	0	0	0	0	0	0.025981027
Psectrocladius				0	0	0	0.232090361	0	0	0	0	0	0	0	0	0	0	0	0.021099124
Pythium				0	0	0.002455916	0.04813726	0	0	0	0.006591958	0	0	0.15015015	0	0	0	0	0.018848662
Pantala				0	0	0	0	0	0	0	0.204350692	0	0	0	0	0	0	0	0.018577336
Phidippus		Yes	Terrestrial only taxa	0	0	0	0	0	0	0	0	0	0.166216497	0	0	0	0	0	0.015110591
Synchaetomella				0	0	0	0.001719188	0	0	0	0.05932762	0	0	0	0	0	0	0	0.00554971
