Taxon	False_Positives	Non-Target_Taxa	Reason	F2	F6	F7	G2	G5	G7	J1	J3	J5	J8	K5	Marker
Bicosoecidae				20.227181862846468	9.495050049901279	7.408009358928294	10.502864243960733	15.199757824134736	24.381494141639333	18.206675321001565	2.7735471375883956	33.03771836433383	28.91158565	7.916820239	18S
Achnanthidiaceae				0	0.005499595	0.00202848	0.027562051	0	0	0.006260892	0.05740457	0	0	0.001189962	18S
Alphamonaceae				1.496482560759052	0	0	0	0	1.3104850866417637	0	0	1.112333979787085	0.081604649	1.978907568955529	18S
Alphamycetaceae				0	0.076994324	0.00202848	0.001722628	0	0	0.146087491	0	0	0	0	18S
Arcellidae				0	0	0	0.02928468	0	0	0	0	0	0	0	18S
Aspidiscidae				0	0	0	0.010335769482234239	0	0	0	0	0	0.00313864	0.033318949	18S
Borghiellaceae				0	0.2749797295686104	0.46046498449917406	0.4478833366657453	0	0	0.5906108568818109	0.17523500432936323	0	0	0.007139775	18S
Brachionidae				0.035776552	1.0182753270906528	0.47207515263539523	2.5874241123661235	4.232964166446593	0.3626303600685216	1.5622981901705533	6.761859493086389	2.4080040219100494	13.605694235597085	7.343251999911537	COI
Cercomonadidae				0	0.093493108	0	0.001722628	0	0	0.033391426	0.027191638801850007	0	0	0	18S
Cercozoa incertae sedis				0	0.13199026981885936	0.00202848	0.006890513	0.032392421	0	0	0.015106465840707899	0	0.006277281	0.028559099	18S
Chaetonotidae				0	0.19210016782261674	3.404138255403613	0.6995866687033554	0.027748044502158835	0	7.815398593411259e-4	0.5694364430809012	0	0	0	COI
Chaetopeltidaceae				0	0.038497162	0.056797443113900246	0.032729936	0	0	0.002086964	0.07553233	0	0	0	18S
Chaetosphaeridiaceae				0	0	0.003161942	0.022843547767142234	0	0	0.095217968	0.139898228	0	0	0	23S
Chilodonellidae				0.007738759	0.002749797	0.18864865010447268	0.18604384737078913	0	0.005778153	0.2191312366852425	0.060425863362831594	0.040225914	0.00156932	0.057118197878479694	18S
Chironomidae				0	0	0.5688000309083819	0.10868147317306118	0	0	0	0	0	0	0	COI
Chlamydomonadaceae				0	1.5982538647153888	0.15809711169267163	0	0	0	0	0.28908430638105437	0	0	0	23S
Chlorellaceae				0	2.010052432777639	0.28457480048397216	3.887971887082964	0.020620357852867942	0	4.000083604617616	0.6884618221199323	0.00108869	0	0	23S
Chordariaceae				0	0.38275597416780094	0	0	0	0	0.034387754	0	0	0	0	COI
Chromulinaceae				0	0.016498784	0.010142400010227289	0.074073013	0	0	0	0	0	0	0	18S
Chrysoamoebidaceae				0	0.010999189	0.00608544	0.025839423	0	0	0.002086964	0.003021293	0	0	0	18S
Chrysochromulinaceae				0	0.06292338	0.1905070191581611	0.3049613676003701	0	0	1.500263590861963	0.12828841683327905	0	0	0	23S
Chydoridae				23.90438531824861	2.6114067969522714	1.8031249709868906	3.8666453051299072	1.5608274946374094	26.827091856346286	0	1.5290716746002286	12.076449820088111	10.300960889732304	21.32824348586135	COI
Cochliopodiidae				0	0	0.004330965	0.10143604181649757	0	0	3.9076992967056293e-4	0	0	0	0.1640634112947747	COI
Colepidae				0	0	0.030427201206307805	0	1.3080368006006389	0	0	0	0	0.029817083511035184	0	18S
Collodictyonidae				2.0701180865751927	0	0	0	0.7126332568066287	2.311261175644926	0.002086964	0.093660088	0.7415559866703937	0.2432446277661142	2.058635054	18S
Cryptomonadaceae				6.5576310772379465	22.72707461950425	4.742586494359456	2.9629205347929655	1.6952033537984321	2.443003062718064	0.2817401612549206	3.7554674206011276	2.3313540807195268	3.0366345455321886	14.704366104250829	18S
Cyclidiidae				2.121387366070696	0.063245338	0	0	8.091935208704673	2.8208942650589757	0	0.021149052080799126	3.009947766035011	0.5586779836211916	4.555176292122469	18S
Cyclopidae				0	1.028424187230586	0.799221163	0.1068029494253192	0.11105972822606594	0	2.504356990474733	0.39276811330128436	0.047221725	0.012554561406776212	0.059498123008746046	18S
Cyrtolophosididae				0.5155948317059986	0.016498784	0.040569602	0.2153285270976775	1.3651091609964816	0.5604808351444706	0.6970460288576743	0.13595819304733076	1.6020407633878717	0.4268550885101579	1.3517973532988143	18S
Desmidiaceae				0.012704493264659764	0.002097446	0.1541446841817732	4.479619783591379	0.5056604146735063	0.057477761	1.134719489968699	0.060371019648255496	0.18562155304218542	0.13724981627537997	0.055820765	23S
Dileptidae				0	0	0.18662017028673916	0.1188613471545925	0	0	3.9631449364608042	1.1571552873420943	0	0	0	18S
Dinobryaceae				0	0.005499595	0	0.07751827	0	0	0	0.07553233	0	0	0.013089586991892459	18S
Eustigmataceae				0	0.090889327	0.19999284612237855	3.8742657587116827	0	0	0.10125618023723579	0.16718128547788697	0	0	0	23S
Eustigmatophyceae incertae sedis				0	0.032997567	0.01419936	0.032729936	0	0	0.008347857	0.039276811	0	0	0	18S
Flosculariidae				0	12.05511132726753	20.06166827347578	4.604585226328943	0	0	0.34434908617028326	0	0	0	0	18S
Fragilariaceae				0	0	0	0	0	0	0.006038213	0.2693476268185585	0	0	0	23S
Frontoniidae				0	0	4.560023285	8.070513202636938	3.1574897771650656	0	2.512704846909292	28.82615821073737	0.13816727087354175	0.078466009	0	18S
Halodinium				0	0.065995135	0.3854112206561948	0.18259859087671104	0.032392421	0	0.029217498124373555	0.00906388	0	0	0	18S
Halteriidae				0	6.574765326262414	4.657390329663336	0.38759134896492964	0.024679939492377827	0.030046395319341276	0.8431335199811695	1.0242183871743293	0.008744764	0	0.24156237920743692	18S
Hartmannellidae				9.673448011815279e-4	0.002749797	0.00405696	0.032729936	0.001542496	0	0.002086964	0.003021293	0.003497906	0	0.001189962	18S
Hazeniaceae				0	0	0.001580971	0	0	0	0.008360602	0.047019737	0	0	0	23S
Hydridae				0	0	0.005774619	4.274804615710651	0	0	0	0	0	0	0	COI
Hydrodictyaceae				0.014984786910351492	0.033559136	1.0228883120512262	0.18845927190348247	0.006770863	0.027548512	0.13191172123134426	0.35003581650969384	0.16275907422254096	0.001600581	0.041348714	23S
Lagenidiaceae				0	0	0.018256320712232536	0.031007308	0	0	0.004173928	0	0	0	0	18S
Lecanidae				0	0.017332346315215925	0.021654823341662566	6.247172094691269	26.547941434360865	0	0.23016349029549776	0	0.17850559321631237	7.930324065990607	0.3450988997531102	COI
Leptophryidae				0	0	0	0	1.888015382255924	0.001155631	0	0	1.2207690532581084	0.30915607515168936	0.07258771	18S
Libellulidae				0	0	0	0	0	0	0	0.098342784	0	0	0	COI
Limnofilidae				0	0.005499595	0.10142400559061912	0.01894891	0	0	0.010434820646384752	0.024170345441324566	0	0	0	18S
