Taxon	False_Positives	Non-Target_Taxa	Reason	F2	F6	F7	G2	G5	G7	J1	J3	J5	J8	K5	Marker
Achnanthidium				0	0.008743934	0.005598164	0.084091029	0	0	0.023043244	0.3946821767987009	0	0	0.003422782	18S
Agitata				0	0.7650942161773253	0.3190953366979434	0.021022757	0	0	0	0	0	0	0	18S
Alona				0	0	0	8.250382519577528	0	0	0	0.046308548	0	0	11.478144810344345	COI
Alphamonas				4.4964394712248215	0	0	0	0	3.8621347321544848	0	0	2.557503619	0.2409750219975903	5.692086528455366	18S
Alphamyces				0	0.12241507478864312	0.005598164	0.005255689	0	0	0.5376757049290559	0	0	0	0	18S
Apedilum				0	0	0	0.094602407	0	0	0.12289730378375352	0	0	0	0	18S
Aphanomyces				0	0	0	0	0	0	0	0	0.016683349999666332	0.010405827	1.2178845510365366	COI
Arcella				0	0	0	0.089346718	0	0	0	0	0	0	0	18S
Aspidisca				0	0	0	0.031534135259659965	0	0	0	0	0	0.00926827	0.095837897	18S
Asulcocephalium				0	0	0.033588983	4.577705365811393	0.6593634810065936	0	0.061448652	0.3739094311272498	0	0	0.010268346000821466	18S
Baldinia				0	0.43719669495847163	1.2707831825853717	1.366479213286269	0	0	2.1737460631130148	1.2048192770721238	0	0	0.020536692	18S
Bodomorpha				0	0	0	0.19971619264941842	0	0	0.007681082	0.7270461155784785	0	0	0	18S
Brachionus				0	0	0.022392654819784745	0.6464497823405045	0.17652250700176522	0	0.23043244496959545	0	0	0.018536539999814635	0	18S
Chaetonotus				0	0.24820842087359823	5.800167265141078	1.493974247104578	0.081940347	0	0.002265698	1.1874834610400973	0	0	0	COI
Chaetopeltis				0	0.061207537	0.15674858674722633	0.099858097	0	0	0.007681082	0.5193186538411175	0	0	0	18S
Chaetosphaeridium				0	0	0.004567878	0.024127198763409578	0	0	0.27220459148424453	0.2838934630031648	0	0	0	23S
Chilodonella				0.023252434001162618	0.004371967	0.5206292330847392	0.5676144426885954	0	0.017028813000681153	0.8065135568935072	0.41545492347472196	0.092488338	0.004634135	0.16429353801314345	18S
Chlamydopodium				0.069757303	0	0.044785311	0.010511378	0.020767354000207672	0.020434575	0.046086489	0.18695471506133987	0.11661573100233233	0.00926827	0.082146769	18S
Chrysamoeba				0	0.017487867397796744	0.016794492	0.07883534	0	0	0.007681082	0.020772746	0	0	0	18S
Chrysochromulina				0	0.080431111	0.27521469034761636	0.32209810131696304	0	0	4.288882102129563	0.26033383974483443	0	0	0	23S
Chydorus				69.64285714139284	3.3741415346360903	3.0722684117682126	0.006876751	4.609144543046091	78.23883666312956	0	3.1423657046742526	27.652652649446946	31.04058272988281	51.41808475154255	COI
Cochliopodium				0	0	0.007379348	0.21661767001516324	0	0	0.001132849	0	0	0	0.48381715001451453	COI
Coelastrella				0.13370149700668507	0	0	0	0.6801308340068013	0.01362305	0	0	0.663503297	0.7043885259929562	2.361719606188937	18S
Copromyxa				0	0	0	0.29957428947504744	0	0	0	0.020772746	0	0	0	18S
Cosmarium				0.005813109	0	0.005598164	0.057812582	0	0.003405763	0.015362162597911582	0	0.008042464	0.032438945	0.037650602	18S
Cryptomonas				19.703531460985175	36.134306824298704	13.088506971830812	9.039785567668247	5.7058304350570594	7.199782031287991	1.0369460018631027	25.820523474364855	5.360302397107207	8.9670513	42.29531763338362	18S
Cyclidium				6.374073536318702	0.10055524004071956	0	0	27.236384400272364	8.313466385332537	0	0.1454092227138677	6.920540454138411	1.6497520739835028	13.10240964104819	18S
Cyrtolophosis				1.5491934310774593	0.017487867397796744	0.11196327610474581	0.4099437643866165	4.594777011045947	1.6517948370660716	2.5347568936653966	0.6439551308835341	3.6834486090736696	0.2826822369971732	3.6315717422905256	18S
Desmodesmus				0.009697251	0	0	0	0.083567712	0	0	0	0.054109372	0.017648304	0.044855033	23S
Diaphanosoma				12.713387240254265	0	45.683081617309846	22.765485581593584	0	7.131316099285252	1.606380207064255	0	0	0	0	COI
Dicrotendipes				0	0	0.9691543266094492	0	0	0	0	0	0	0	0	COI
Diphylleia				6.220026159311001	0	0	0	2.3986293550239868	6.8115251	0.007681082	0.6439551308835341	1.7050024130341002	0.7182909309928172	5.921412924473712	18S
Esoptrodinium				0.069757303	0.10929917373961791	1.0692492861985758	0.005255689	0.4361144280043612	0.017028813000681153	0	0.29081844643230537	0	0.050975484999490256	1.0850219060868016	18S
Euchlanis				0.10669362100213385	0.26500447913470904	0.6518423769961432	3.783932470264875	11.348738120113486	1.057579318042303	0.045313969	0.5259327864246531	5.355355354892892	38.57960457805769	19.886553220596596	COI
Fragilaria				0	0	0	0	0	0	0.017261754020770792	0.5465832653348117	0	0	0	23S
Halodinium				0	3.646220434551756	3.8683311868113988	2.2546907026236314	0.1090286070010903	0	2.542437975464429	2.243456584754359	0	0	0	18S
Hariotina				0.4237699034702527	0	0	0	11.210653533994803	0.917431193	0.01991741	0.3251228043576915	2.6784138893943403	8.780619808198685	2.7189784509267385	23S
Hazenia				0	0	0.00228394	0	0	0	0.023900891	0.095416476	0	0	0	23S
Hydra				0	0	0.00983913	9.128887514639022	0	0	0	0	0	0	0	COI
Hydrodictyon				1.0332434860206645	0	0	0	0.33595542400335954	0.073443008	0	0.013231013873666386	0.7007007009859859	0.43184183137332627	5.038371705151152	COI
Keratella				0	1.0376231711872357	0.027057607780467032	1.2085890630846012	0	0	4.483817249179353	13.575019847002775	0.15849182499683015	0	0	COI
Korotnevella				1.6509433960330184	0	0.007379348	0.039541321	0	1.321974148052879	0	0	0.16683349999666333	0.22892819943833012	1.2679346010380383	COI
Lagenidium				0	0	0.050383474	0.094602407	0	0	0.015362162597911582	0	0	0	0	18S
Lecane				0	0.022394744348147727	0.036896739	13.340897760933862	78.39642740078395	0	0.6672481960266898	0	0.40874207499182513	23.896982307357938	1.0176843510305307	COI
Lepidodermella				0	0.008743934	0.2687118628519721	0.10511378586859906	0	0	0	0.2492729540848332	0	0	0	18S
Makinoella				0.36331928501816596	0	0.027990819026186452	0	0	0.085144064	0	0	0.008042464	0.004634135	0.39361993403148954	18S
Mallomonas				0	0	0	0	0	0	0.47801781882185046	0	0	0	0	23S
Messastrum				77.04563526442618	0.145669678	0.9466928558127996	0.4210196150608215	46.78264307306445	62.83909363999866	10.367675371640475	2.7011108356667815	33.265500569020205	43.364237478472525	40.87056937678139	23S
Micractinium				0	0.43719669495847163	0.044785311	0.6569611604264447	0	0	0.2765189337634838	0.2700456997562843	0	0	0	18S
Microcyclops				0	1.2372666459313904	0.022392654819784745	0.1786934354756986	0	0	0	0.020772746	0	0	0	18S
Monilicaryon				0	0	0.5150310698812485	0.36264256099620684	0	0	14.586373758274116	7.955961779015791	0	0	0	18S
Monomastix				0	2.4254448282202823	0.7171569525532178	0	0	0	0	0.32041087918406663	0	0	0	23S
Mucidosphaerium				0	2.569327149417542	0.4111090810900683	4.106449199483916	0.060204696	0	11.435248501859581	1.3970856743557967	0.002352582	0	0	23S
Neglectella				0	0	0	0.021022757	0	0	0	0	0	0	0	18S
Ochromonas				0	0.026231802	0.027990819026186452	0.22599463886610835	0	0	0	0	0	0	0	18S
Oocystis				5.443067434623679	0.002681037	0.029691211945002825	0.016889038739013096	0.022464439276434118	4.345934830576338	0.13809403722274508	0.068322908	0.078811476	0.048238699738666624	0.029585234	23S
Oxytricha				0	0	0	0	0	0	0	0.830909846	0	0	0	18S
Pandorina				16.71903182915405	0.691707553	1.6170290521074528	8.919825319	37.39969628496356	30.182299907090165	58.72183346592374	4.142959795257323	43.92857562944734	46.96566816284392	20.89099272687307	23S
Pantala				0	0	0	0	0	0	0	0.2050807090203947	0	0	0	COI
Paracercomonas				0	0	0	0.005255689	0	0	0.12289730378375352	0	0	0	0	18S
Paraeustigmatos				0	0.052463603	0.039187146436078825	0.099858097	0	0	0.030724326	0.2700456997562843	0	0	0	18S
Paramecium				0	0	0	0.23650601795388798	0	0	0.007681082	0	0	0	0	18S
