Taxon	False_Positives	Non-Target_Taxa	Reason	F2	F6	F7	G2	G5	G7	J1	J3	J5	J8	K5	Mean
Eurotatoria				1.035447	32.01663	42.33499	18.74449	20.99269	1.336856	42.06066	52.78832	6.443357	9.184307	2.443607	22.0197
Chlorophyceae				59.11451	1.443709	0.40617	0.691176	14.45084	14.70002	0.568953	0.654423	18.15561	32.05618	50.76556	16.0951
Dinophyceae				2.70805	11.32743	4.625021	17.19756	3.72463	44.13889	6.112562	10.92217	10.24653	5.843933	3.431715	11.44346
Oligohymenophorea				2.869121	3.073907	5.749132	11.84916	11.85492	3.538765	1.843351	4.4945	10.01569	11.09397	1.510777	5.679933
Magnoliopsida		Yes	Terrestrial only	4.254165	3.390926	2.189098	3.302971	5.485894	3.644428	2.291223	2.750621	5.617693	4.741176	3.840529	3.676755
Insecta				1.449306	3.675968	5.234749	5.065338	3.108435	1.73132	5.057216	2.957916	2.454816	2.147941	1.557341	3.229241
Spirotrichea				0.19319	13.25018	8.712053	2.62142	0.737837	0.445172	2.336633	2.348607	0.679455	0.538035	0.695802	3.202035
Branchiopoda				0.549323	0.591435	7.027916	5.172605	0.471599	0.891782	9.441146	0.476751	0.251594	0.774322	3.13507	2.800922
Cryptophyceae				0.234833	4.752565	0.936465	1.428023	0.368962	0.263219	0.132388	0.906152	0.605557	0.218252	10.379	2.000716
Actinopteri		Yes	Terrestrial only	1.080742	1.534103	1.772225	1.752745	1.841618	1.135402	2.130491	1.546139	1.563874	1.229314	0.883184	1.524052
Bigyra				1.233307	0.448583	0.345633	0.898843	1.92555	1.750024	0.545548	0.713423	4.681002	3.235396	0.400399	1.294231
Arachnida		Yes	Terrestrial only	0.530938	1.180518	1.712562	1.507542	1.204835	0.610477	1.556384	1.121176	0.907201	0.746335	0.709591	1.104122
Gammaproteobacteria		Yes	Non Eukaryote	1.013904	0.879418	0.85986	1.065074	1.319839	0.972118	0.802771	0.641967	1.359181	1.289391	0.989576	0.990371
Mammalia		Yes	Terrestrial only	0.69664	0.989105	1.136939	1.087894	1.179536	0.79681	1.297992	0.961848	0.973922	0.825201	0.626077	0.974676
Chromadorea				0.685984	0.8593	0.941339	0.970847	1.230372	0.868094	1.065557	0.830008	1.127417	0.98847	0.616637	0.919556
Agaricomycetes				0.930324	0.558213	0.443863	0.732911	1.293339	1.113683	0.501494	0.491241	1.396368	1.028141	0.764547	0.822598
Trebouxiophyceae				2.050035	0.507146	0.158726	0.627161	0.80193	0.860201	0.226317	0.250513	1.075607	1.097664	1.484366	0.8042
Hexanauplia				0.123059	1.235628	1.052699	1.151403	0.627842	0.166562	3.596684	0.467793	0.307151	0.208758	0.189889	0.891871
Gastropoda				0.417905	0.765575	1.050404	1.026005	0.777924	0.460514	0.982214	0.738484	0.672805	0.600021	0.33191	0.722374
