Taxon	False_Positives	Non-Target_Taxa	Reason	F2	F6	F7	G2	G5	G7	J1	J3	J5	J8	K5	Mean
Brachionus				0.138805	25.68416	37.93359	15.06474	18.49926	0.201027	31.80099	47.3821	4.559237	7.28848	1.730456	17.29844
Raphidocelis				28.68239	0.057318	0.041754	0.078216	6.242158	6.879252	0.0892	0.102616	7.398022	14.89698	24.56105	8.093541
Monoraphidium				21.74572	0.072667	0.058035	0.08051	4.788118	5.129112	0.087729	0.110337	5.871357	10.89246	18.73399	6.14273
Symbiodinium	Yes		Marine only	1.977968	5.158042	2.449183	8.957816	2.694595	21.78287	2.770858	5.622829	7.180438	4.505158	1.839669	5.903584
Chrysochromulina	Yes		Marine only	0.249999	12.70337	2.766565	7.62727	0.333344	0.524775	18.82157	5.532507	0.748352	0.567899	0.165975	4.549239
Polarella	Yes		Marine only	0.505596	4.496727	1.895315	6.521389	0.817776	18.88243	2.00571	4.273046	2.405523	1.231419	1.28282	4.028886
Paramecium				0.573498	0.973921	2.617032	7.866196	4.707082	0.707447	0.777869	2.718105	2.879878	3.205154	0.374099	2.490935
Daphnia				0.469217	0.465568	5.744356	3.968985	0.415815	0.773829	6.24086	0.413797	0.21602	0.696001	2.635723	2.003652
Scenedesmus				4.918543	0.063219	0.03806	0.058301	1.991513	1.269888	0.034611	0.058976	2.602311	4.185934	5.827868	1.913566
Rotaria				0.585517	2.042636	3.057564	1.938133	1.98933	0.748641	2.134754	2.421931	1.270782	1.347031	0.535451	1.642888
Stylonychia				0.114071	5.856303	4.256812	1.549624	0.414187	0.202892	1.194599	1.159239	0.3971	0.282651	0.293211	1.429154
Tetrahymena				0.815967	0.678725	1.167184	1.356719	2.610995	1.061779	0.308793	0.692109	2.841969	3.26714	0.480869	1.389295
Guillardia	Yes		Marine only	0.201349	3.557831	0.777963	1.083727	0.321919	0.233847	0.094159	0.732012	0.520358	0.199352	6.972444	1.335906
Halteria				0.065972	5.543488	4.396367	0.904139	0.27004	0.228672	0.700844	1.050446	0.246085	0.241635	0.363159	1.273713
Pseudocohnilembus	Yes		Marine only	0.941837	0.564108	1.057409	0.833541	2.796557	1.098576	0.214475	0.502546	2.092594	3.1062	0.422395	1.239113
Cafeteria	Yes		Marine only	0.952112	0.156753	0.205415	0.514343	1.376445	1.331483	0.294411	0.475039	3.640411	2.73696	0.21802	1.081945
Ichthyophthirius		Yes	Parasite of vertebrates	0.516189	0.550267	0.991414	1.382421	1.72004	0.560512	0.252111	0.456939	1.659749	1.581303	0.271356	0.903846
Phytophthora		Yes	Terrestrial only	0.691286	0.399655	0.242294	0.695497	0.93727	0.860456	0.283218	0.39696	1.662927	1.066235	0.401093	0.694263
Adineta				0.243162	0.73761	1.117912	0.599155	0.634624	0.29584	0.657055	0.877661	0.450531	0.462257	0.210974	0.571526
Emiliania	Yes		Marine only	0.215653	1.090896	0.292059	0.760786	0.331648	0.343493	1.442823	0.534814	0.416946	0.270764	0.180761	0.534604
Chlamydomonas				1.303601	0.271241	0.094477	0.137992	0.49655	0.480787	0.086156	0.116446	0.660305	0.867768	1.296535	0.528351
Aphanomyces				0.471742	0.207925	0.154796	0.485832	0.651692	0.584098	0.225157	0.318141	1.241524	0.75282	0.306854	0.490962
Perkinsus	Yes		Marine only	0.396382	0.52125	0.258304	0.479412	0.426711	0.829155	0.440984	0.299842	0.685745	0.420514	0.37274	0.466458
Hordeum		Yes	Would not be present in the artifical ponds	0.060753	0.469473	0.60322	0.550122	0.867552	0.093158	0.457654	0.682967	0.299052	0.358913	0.127994	0.415533
Vitrella	Yes		Marine only	1.01986	0.184613	0.090561	0.142418	0.14708	0.871226	0.082604	0.228219	0.690348	0.21716	0.708688	0.398434
Pythium		Yes	Parasite of terrestrial plants	0.352318	0.123873	0.117991	0.317851	0.469195	0.44596	0.117342	0.175939	0.793081	0.610213	0.285803	0.346324
Haematococcus				0.926255	0.090046	0.059031	0.101132	0.317176	0.303921	0.046518	0.067532	0.500174	0.501191	0.721621	0.330418
Chlorella				0.777393	0.205496	0.053751	0.309845	0.294788	0.314301	0.081231	0.098172	0.392484	0.433093	0.638598	0.327196
Aureococcus	Yes		Marine only	0.22367	0.191172	0.092308	0.480029	0.292331	0.421362	0.154257	0.242911	0.657959	0.515948	0.142739	0.310426
Plasmodiophora		Yes	Would not be present in the artifical ponds	0.161565	0.12075	0.073858	0.209218	1.102905	0.35151	0.126408	0.172337	0.665825	0.232352	0.1909	0.309784
Salpingoeca				0.323204	0.173754	0.096705	0.159991	0.314968	0.565814	0.787308	0.112084	0.315837	0.281812	0.11434	0.295074
Monosiga				0.275764	0.132271	0.084241	0.158893	0.315367	0.436136	0.726015	0.12387	0.394243	0.411666	0.104418	0.287535
Volvox				0.687984	0.349007	0.038734	0.06605	0.224944	0.214399	0.033309	0.05373	0.323301	0.405785	0.661759	0.278091
Tribonema				0.213603	0.171747	0.053378	0.450214	0.250547	0.270796	0.090881	0.254269	0.600693	0.46235	0.102116	0.265509
Tigriopus				0.030629	0.368638	0.375832	0.393664	0.192505	0.026688	1.164362	0.148467	0.077403	0.050053	0.061254	0.262681
Ectocarpus				0.185613	0.189936	0.064899	0.483652	0.245192	0.268444	0.125766	0.249457	0.525706	0.348123	0.104297	0.253735
Acanthamoeba				0.347328	0.109369	0.076403	0.302765	0.363246	0.331004	0.081211	0.124531	0.455789	0.262696	0.305945	0.250935
Rhizopus	Yes		Terrestrial/Marine only	0.315924	0.129191	0.134974	0.222694	0.404869	0.290676	0.16124	0.142281	0.41581	0.311901	0.226378	0.25054
Didymodactylos	Yes		Marine only	0.084474	0.323341	0.52465	0.272523	0.272712	0.105362	0.31218	0.423976	0.17785	0.18563	0.062055	0.249523
Stentor				0.114806	0.732754	0.124349	0.222208	0.246974	0.144173	0.118046	0.103786	0.30187	0.297101	0.097518	0.227599
Sticholonche	Yes		Marine only	0.591139	0.061443	0.043192	0.040639	0.280725	0.431282	0.02779	0.065305	0.313022	0.229774	0.274148	0.214405
Trypanosoma				0.419135	0.087352	0.067347	0.212996	0.166824	0.165885	0.05537	0.074413	0.689574	0.146031	0.216027	0.209178
Acinetobacter		Yes	Bacteria	0.274965	0.16732	0.166198	0.21676	0.266891	0.208917	0.155221	0.115442	0.253901	0.215952	0.224233	0.205982
Diacronema				0.158074	0.221902	0.084052	0.181285	0.250304	0.247598	0.224814	0.189383	0.309951	0.159163	0.130073	0.196054
Planoprotostelium		Yes	Terrestrial only	0.202505	0.116005	0.049821	0.2925	0.369075	0.18172	0.064897	0.078997	0.374652	0.17383	0.217295	0.192845
Drosophila		Yes	Terrestrial only	0.094755	0.20971	0.313153	0.261626	0.202891	0.11135	0.290264	0.211531	0.15862	0.142346	0.082126	0.188943
Nymphaea		Yes	Would not be present in the artifical ponds	0.085683	0.112678	0.12849	0.317712	0.229847	0.104634	0.044588	0.144294	0.229452	0.542408	0.123021	0.187528
Capsaspora				0.237512	0.054626	0.050368	0.097872	0.275679	0.236078	0.150579	0.083258	0.301451	0.354026	0.148378	0.180893
Blastocystis		Yes	Would not be present in the artifical ponds	0.126962	0.170445	0.087937	0.172056	0.247789	0.184767	0.084227	0.109813	0.436876	0.25451	0.106803	0.180199
Branchiostoma	Yes		Marine only	0.154832	0.229024	0.212838	0.178032	0.220665	0.158516	0.153707	0.140485	0.189065	0.204926	0.111705	0.177618
Lepeophtheirus		Yes	Parasite of vertebrates	0.01947	0.30558	0.235716	0.238629	0.119176	0.020962	0.683545	0.103158	0.056994	0.028129	0.02948	0.167349
Amoebophrya	Yes		Marine only	0.130568	0.11247	0.076676	0.154963	0.131976	0.543491	0.08183	0.1266	0.231154	0.133653	0.112971	0.166941
Pyrenomonas	Yes		Marine only	0	0.122337	0.020527	0.052836	0	0	0	0.013653	0	0	1.611709	0.165551
Naegleria				0.172923	0.147645	0.099924	0.186635	0.232853	0.176802	0.077779	0.088752	0.284502	0.172246	0.177757	0.165256
Tetrabaena				0.46404	0.059735	0.019283	0.028594	0.155459	0.147768	0.028355	0.027125	0.202165	0.250546	0.411639	0.163155
